# Region type : patch Air
# Faces  :    12879
# Area   :    3.839820e+02
# Time        	sum(phi)
88            	8.859579e-06
88.0013       	9.271401e-06
88.0028       	9.276540e-06
88.0045       	9.269577e-06
88.0064       	9.261415e-06
88.0086       	9.252185e-06
88.0111       	9.241199e-06
88.0134       	9.229348e-06
88.0158       	9.217039e-06
88.0178       	9.204549e-06
88.02         	9.193365e-06
88.0221       	9.180587e-06
88.0239       	9.167901e-06
88.0259       	9.155809e-06
88.0277       	9.143255e-06
88.0296       	9.131172e-06
88.0314       	9.118504e-06
88.0334       	9.105851e-06
88.0354       	9.092346e-06
88.0374       	9.078787e-06
88.0394       	9.064731e-06
88.0414       	9.050129e-06
88.0434       	9.035799e-06
88.0454       	9.021666e-06
88.0474       	9.007065e-06
88.0496       	8.992158e-06
88.0517       	8.977084e-06
88.0539       	8.961931e-06
88.0562       	8.946557e-06
88.0585       	8.931022e-06
88.0608       	8.915389e-06
88.063        	8.899287e-06
88.0652       	8.884072e-06
88.0674       	8.869582e-06
88.0695       	8.855074e-06
88.0717       	8.841201e-06
88.0738       	8.826682e-06
88.0758       	8.812023e-06
88.078        	8.797514e-06
88.0801       	8.782757e-06
88.0822       	8.768005e-06
88.0844       	8.753258e-06
88.0864       	8.738793e-06
88.0885       	8.724681e-06
88.0905       	8.710926e-06
88.0926       	8.697319e-06
88.0945       	8.684007e-06
88.0964       	8.671434e-06
88.0981       	8.659170e-06
88.1          	8.647791e-06
88.102        	8.636127e-06
88.1041       	8.628579e-06
88.1061       	8.621169e-06
88.1082       	8.613392e-06
88.1104       	8.605573e-06
88.1127       	8.598235e-06
88.115        	8.590626e-06
88.1169       	8.582064e-06
88.1189       	8.575289e-06
88.1209       	8.568884e-06
88.123        	8.562356e-06
88.125        	8.556186e-06
88.1273       	8.550198e-06
88.1297       	8.543600e-06
88.1319       	8.535623e-06
88.134        	8.528552e-06
88.1362       	8.521722e-06
88.138        	8.513947e-06
88.1399       	8.507525e-06
88.1416       	8.501434e-06
88.1434       	8.495803e-06
88.1454       	8.490492e-06
88.1472       	8.484415e-06
88.1489       	8.478617e-06
88.1505       	8.473100e-06
88.1523       	8.468523e-06
88.1544       	8.463658e-06
88.1563       	8.457487e-06
88.1582       	8.451587e-06
88.1601       	8.445720e-06
88.162        	8.439377e-06
88.1639       	8.433298e-06
88.1655       	8.426516e-06
88.167        	8.420895e-06
88.1688       	8.416292e-06
88.1708       	8.411470e-06
88.1728       	8.405305e-06
88.1748       	8.399699e-06
88.1768       	8.393399e-06
88.1787       	8.387034e-06
88.1807       	8.380844e-06
88.1828       	8.374827e-06
88.185        	8.368375e-06
88.1871       	8.360504e-06
88.1892       	8.353091e-06
88.1914       	8.345876e-06
88.1935       	8.338332e-06
