# Region type : patch Inlet
# Faces  :    288
# Area   :    1.406185e+00
# Time        	sum(phi)
47            	-5.000000e-01
47.0097       	-5.000000e+00
47.0191       	-5.000000e+00
47.0284       	-5.000000e+00
47.0376       	-5.000000e+00
47.0469       	-5.000000e+00
47.0562       	-5.000000e+00
47.0657       	-5.000000e+00
47.0752       	-5.000000e+00
47.0848       	-5.000000e+00
47.0944       	-5.000000e+00
47.1038       	-5.000000e+00
47.1132       	-5.000000e+00
47.1227       	-5.000000e+00
47.132        	-5.000000e+00
47.1413       	-5.000000e+00
47.1508       	-5.000000e+00
47.1603       	-5.000000e+00
47.1701       	-5.000000e+00
47.1797       	-5.000000e+00
47.1892       	-5.000000e+00
47.1985       	-5.000000e+00
47.2077       	-5.000000e+00
47.2169       	-5.000000e+00
47.2261       	-5.000000e+00
47.2353       	-5.000000e+00
47.2446       	-5.000000e+00
47.2539       	-5.000000e+00
47.2633       	-5.000000e+00
47.2729       	-5.000000e+00
47.2823       	-5.000000e+00
47.2917       	-5.000000e+00
47.3009       	-5.000000e+00
47.3099       	-5.000000e+00
47.319        	-5.000000e+00
47.3281       	-5.000000e+00
47.3373       	-5.000000e+00
47.3466       	-5.000000e+00
47.3561       	-5.000000e+00
47.3656       	-5.000000e+00
47.375        	-5.000000e+00
47.3845       	-5.000000e+00
47.3938       	-5.000000e+00
47.4032       	-5.000000e+00
47.4125       	-5.000000e+00
47.4218       	-5.000000e+00
47.4313       	-5.000000e+00
47.4409       	-5.000000e+00
47.4506       	-5.000000e+00
47.46         	-5.000000e+00
47.4693       	-5.000000e+00
47.4787       	-5.000000e+00
47.4878       	-5.000000e+00
47.497        	-5.000000e+00
47.5061       	-5.000000e+00
47.5152       	-5.000000e+00
47.5246       	-5.000000e+00
47.5339       	-5.000000e+00
47.5432       	-5.000000e+00
47.5527       	-5.000000e+00
47.562        	-5.000000e+00
47.5714       	-5.000000e+00
47.5805       	-5.000000e+00
47.5896       	-5.000000e+00
47.5987       	-5.000000e+00
47.6078       	-5.000000e+00
47.6172       	-5.000000e+00
47.6265       	-5.000000e+00
47.6359       	-5.000000e+00
47.6452       	-5.000000e+00
47.6545       	-5.000000e+00
47.6639       	-5.000000e+00
47.6732       	-5.000000e+00
47.6825       	-5.000000e+00
47.6916       	-5.000000e+00
47.7007       	-5.000000e+00
47.7095       	-5.000000e+00
47.718        	-5.000000e+00
47.7266       	-5.000000e+00
47.7349       	-5.000000e+00
47.7424       	-5.000000e+00
47.7492       	-5.000000e+00
47.7555       	-5.000000e+00
47.7614       	-5.000000e+00
47.7674       	-5.000000e+00
47.7734       	-5.000000e+00
47.7793       	-5.000000e+00
47.7855       	-5.000000e+00
47.7916       	-5.000000e+00
47.7977       	-5.000000e+00
47.8039       	-5.000000e+00
47.8098       	-5.000000e+00
47.8154       	-5.000000e+00
47.8205       	-5.000000e+00
47.8254       	-5.000000e+00
47.8301       	-5.000000e+00
47.8346       	-5.000000e+00
47.8389       	-5.000000e+00
47.8432       	-5.000000e+00
47.8473       	-5.000000e+00
47.8513       	-5.000000e+00
47.8553       	-5.000000e+00
47.8593       	-5.000000e+00
47.8632       	-5.000000e+00
47.8672       	-5.000000e+00
47.8711       	-5.000000e+00
47.875        	-5.000000e+00
47.8789       	-5.000000e+00
47.8828       	-5.000000e+00
47.8868       	-5.000000e+00
47.8909       	-5.000000e+00
47.8949       	-5.000000e+00
47.899        	-5.000000e+00
47.903        	-5.000000e+00
47.9072       	-5.000000e+00
47.9114       	-5.000000e+00
